id,mobile,name,birthday,ID_number,clinic_card_id,social_security_id,inpatient_id,gender,has_deleted,other_info,createdBy,create_time,update_time
PTS_f92bdb9afd484c7a5fc,18343326179,提贝里乌斯,Mon Aug 03 1970 00:00:00 GMT+0800 (GMT+08:00),817945639845835900,V5,9dd04cccc,Hd94daad9b2cda,O,0,,USER_a58a3deb6694c8cc3a49cddff29b9d0cf,Fri Jun 11 1999 00:00:00 GMT+0800 (GMT+08:00),Thu Jun 10 1999 00:00:00 GMT+0800 (GMT+08:00)
PTS_7dadb9b7dc9afca19dc,17350476501,阿庇乌斯,Tue Jul 17 1962 00:00:00 GMT+0800 (GMT+08:00),953335870640087700,V7,cd1b8da74,Hf97ddca3bd9da,O,0,,USER_392ad4d986ba4b8b00aa999cbd368adad,Sun Jun 24 1979 00:00:00 GMT+0800 (GMT+08:00),Thu Apr 10 1980 00:00:00 GMT+0800 (GMT+08:00)
PTS_f9a7cc2bc87c0969690,14864803986,奥卢斯,Thu Nov 06 1952 00:00:00 GMT+0800 (GMT+08:00),337828099574547300,V8,b53afc996,H7acbd6496c099,O,1,,USER_bdd909dc9dc0ba9384a8d9a90d9bd9fcd,Fri Jan 05 2007 00:00:00 GMT+0800 (GMT+08:00),Tue Nov 25 2008 08:00:00 GMT+0800 (GMT+08:00)
PTS_eda238c09a68c9065d1,15193437124,凯卢斯,Tue Oct 08 1946 00:00:00 GMT+0800 (GMT+08:00),278902012384416450,V6,3bc5d20c3,H7d139c98cc8fb,O,0,,USER_ecc9dbad98b9cddcdabaca0d8be9dedb2,Sun Feb 18 2007 00:00:00 GMT+0800 (GMT+08:00),Thu Oct 18 2007 08:00:00 GMT+0800 (GMT+08:00)
PTS_ed4f79b04dac965a5cf,14357447149,迪基姆斯,Tue Sep 27 1966 00:00:00 GMT+0800 (GMT+08:00),369386273625810600,V7,8accc98b9,H4ccd3bfdc8d8d,F,0,,USER_6db956312f81c8587d1cadc299ada1acb,Sun Feb 08 2004 00:00:00 GMT+0800 (GMT+08:00),Sun Feb 08 2004 00:00:00 GMT+0800 (GMT+08:00)
PTS_29f03dbbd8a37c3aa2e,14766846531,迪基乌斯,Mon Oct 17 1938 08:00:00 GMT+0800 (GMT+08:00),939304149900512500,V11,b25b4baa6,H689cebc0cb467,F,1,,USER_392ad4d986ba4b8b00aa999cbd368adad,Tue Jun 04 2019 00:00:00 GMT+0800 (GMT+08:00),Tue Jun 04 2019 00:00:00 GMT+0800 (GMT+08:00)
PTS_ff86abfd9c7bebadd54,14611050916,刘邦,Mon Sep 05 1988 00:00:00 GMT+0900 (GMT+08:00),259113767275844480,V8,7fdda9d0e,H7c8a3c81cddd4,F,1,,USER_1ae543cdab7e88aa0efb94f28a69d1b97,Fri Jan 24 1992 00:00:00 GMT+0800 (GMT+08:00),Sun Nov 15 1992 08:00:00 GMT+0800 (GMT+08:00)
PTS_19c7b9da8b7a0d2a721,14827913642,河神,Sun Jul 18 1937 00:00:00 GMT+0800 (GMT+08:00),751020890715327200,V2,d6a5dc1b3,H6ecadcdded4ba,F,0,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Thu Mar 20 2014 00:00:00 GMT+0800 (GMT+08:00),Fri Sep 12 2014 00:00:00 GMT+0800 (GMT+08:00)
PTS_48aea2cb26dca8bd455,17093079827,刑天,Sun Sep 21 1969 00:00:00 GMT+0800 (GMT+08:00),661710102293403800,V0,03cb9ad31,H3c0d52912ac99,F,1,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Fri Apr 18 2008 00:00:00 GMT+0800 (GMT+08:00),Mon Oct 13 2008 08:00:00 GMT+0800 (GMT+08:00)
PTS_cd79a9c8bb51bb92cd7,15205878185,弗拉维乌斯,Fri Jan 07 1983 00:00:00 GMT+0800 (GMT+08:00),164619042060603260,V8,7db74f9ca,H8e69c89e8ba6d,M,1,,USER_abb8bc879cf34d6ab5c89adaa61cabd40,Fri Sep 14 2018 00:00:00 GMT+0800 (GMT+08:00),Fri Sep 14 2018 00:00:00 GMT+0800 (GMT+08:00)
PTS_dcca7ed5c98f1988c88,15055275018,海伦,Sat Aug 10 1974 00:00:00 GMT+0800 (GMT+08:00),774062333843092900,V9,6dcaa97b8,H093b9aa6bd8dd,F,1,,USER_9c9d3ad06ae3d99b79d4d83c492b86d6a,Wed Aug 25 1999 00:00:00 GMT+0800 (GMT+08:00),Fri Dec 03 1999 00:00:00 GMT+0800 (GMT+08:00)
PTS_00f4dab9a92c8dc9c5c,18719907660,曹操,Fri Jun 22 1934 00:00:00 GMT+0800 (GMT+08:00),602672169158090000,V6,cf3fcf0a8,H181c08ba69ad3,F,0,,USER_ea8db3b3baa78dbbcb51a877d5ab8994b,Sat Feb 14 2004 00:00:00 GMT+0800 (GMT+08:00),Mon May 10 2004 00:00:00 GMT+0800 (GMT+08:00)
PTS_b8d90b2bc7b3adbcd90,15796142258,项羽,Fri Jul 03 1970 00:00:00 GMT+0800 (GMT+08:00),706929413467228200,V7,1cbc6ac9d,H6fdc89dbe3dde,M,0,,USER_bdd909dc9dc0ba9384a8d9a90d9bd9fcd,Thu Feb 06 1997 00:00:00 GMT+0800 (GMT+08:00),Thu Feb 06 1997 00:00:00 GMT+0800 (GMT+08:00)
PTS_2c93a97b2949ab99cdd,14131298893,秦始皇,Thu Nov 14 1996 08:00:00 GMT+0800 (GMT+08:00),872788795194523800,V5,31b49dbbc,H269c2cc8d2ccd,F,0,,USER_8ba15bab0806c6dfb9d8cc4c443b98cce,Fri Aug 18 2000 00:00:00 GMT+0800 (GMT+08:00),Fri Aug 18 2000 00:00:00 GMT+0800 (GMT+08:00)
PTS_fde45aa8cb27dcb041d,14976233037,李元霸,Sat Mar 27 1971 00:00:00 GMT+0800 (GMT+08:00),948184365722441200,V6,9de17abb3,H4e2dddeab978a,M,1,,USER_ea8db3b3baa78dbbcb51a877d5ab8994b,Thu Feb 16 1984 00:00:00 GMT+0800 (GMT+08:00),Sun Nov 25 1984 08:00:00 GMT+0800 (GMT+08:00)
PTS_52ab9fe3cc5bd6cdba0,16271519249,维正,Mon Sep 20 1954 00:00:00 GMT+0800 (GMT+08:00),597085595765478900,V0,0c9ccdd4a,He95addcd0dd56,M,1,,USER_bcc944e05cf92adadcd9d7bbbca969cb4,Sat Aug 02 1997 00:00:00 GMT+0800 (GMT+08:00),Wed Nov 12 1997 08:00:00 GMT+0800 (GMT+08:00)
PTS_2cb105b9aeead20a9c3,15073438976,乾隆,Sat Apr 11 1931 00:00:00 GMT+0800 (GMT+08:00),313611453501378370,V4,2db9cfb7a,H89dbaabce986d,F,0,,USER_bdd909dc9dc0ba9384a8d9a90d9bd9fcd,Fri Apr 10 1998 00:00:00 GMT+0800 (GMT+08:00),Fri Apr 10 1998 00:00:00 GMT+0800 (GMT+08:00)
PTS_01f899afbe0fcdc8cfd,17936035146,成吉思汗,Wed Feb 06 1963 00:00:00 GMT+0800 (GMT+08:00),877211025135014700,V1,7cbeb88db,H5c5969d35eafc,O,1,,USER_5bca6a8481ce9ddc7bbcbc9a2ad9ca10b,Fri Feb 04 2011 00:00:00 GMT+0800 (GMT+08:00),Thu Oct 04 2012 00:00:00 GMT+0800 (GMT+08:00)
PTS_33d8abed9996a79a0e9,16894966831,李世民,Tue Feb 25 1975 00:00:00 GMT+0800 (GMT+08:00),193028870879286400,V8,dc1c0c964,H0e7ba9c6b9bb1,F,1,,USER_ea8db3b3baa78dbbcb51a877d5ab8994b,Sun May 02 1982 00:00:00 GMT+0800 (GMT+08:00),Sun May 02 1982 00:00:00 GMT+0800 (GMT+08:00)
PTS_a1bec8fc8ac484806a9,18877294407,曹植,Sun Sep 14 1924 00:00:00 GMT+0800 (GMT+08:00),986663332172280800,V6,9cdab90cd,H3ac28b139a56b,O,1,,USER_392ad4d986ba4b8b00aa999cbd368adad,Sun Oct 23 1977 08:00:00 GMT+0800 (GMT+08:00),Sun Oct 23 1977 08:00:00 GMT+0800 (GMT+08:00)
PTS_9578ddfcdd6ca97db3e,16246790032,曹彰,Thu May 27 1982 00:00:00 GMT+0800 (GMT+08:00),604623741605699300,V5,edc68f194,H5bdcbd9dcc9cb,F,1,,USER_9c9d3ad06ae3d99b79d4d83c492b86d6a,Sat Apr 07 2001 00:00:00 GMT+0800 (GMT+08:00),Thu Aug 08 2002 00:00:00 GMT+0800 (GMT+08:00)
PTS_4cd0bfd708f940bb5cc,18752710591,刘玄德,Sat Aug 19 1995 00:00:00 GMT+0800 (GMT+08:00),256743491748802140,V10,3c792aabc,Hc4e4b1adcbf8c,F,0,,USER_5bca6a8481ce9ddc7bbcbc9a2ad9ca10b,Thu May 23 2019 00:00:00 GMT+0800 (GMT+08:00),Thu May 23 2019 00:00:00 GMT+0800 (GMT+08:00)
PTS_4e8aa926109aac8baac,17733440286,黄忠,Sat Jan 04 1947 00:00:00 GMT+0800 (GMT+08:00),568333924318993700,V3,edcd869ac,Hdcd99cbc93dcc,O,1,,USER_757bb8c4a0da097c1ac2dbdb766b94599,Mon Oct 22 2007 08:00:00 GMT+0800 (GMT+08:00),Mon Oct 22 2007 08:00:00 GMT+0800 (GMT+08:00)
PTS_1da1fd4afcdaabd9b04,14839490039,张飞,Thu Jun 12 1958 00:00:00 GMT+0800 (GMT+08:00),273207811535122100,V5,2c6907edd,Hd5319cd9cdc3a,F,0,,USER_757bb8c4a0da097c1ac2dbdb766b94599,Tue Jun 09 2020 00:00:00 GMT+0800 (GMT+08:00),Tue Jun 09 2020 00:00:00 GMT+0800 (GMT+08:00)
PTS_c10e329fbac6abc5c26,18438883533,赵子龙,Sat Feb 01 1975 00:00:00 GMT+0800 (GMT+08:00),201896824096342050,V0,1a9cda5c8,H0bacdb1d8f6cc,F,0,,USER_edd982f691e19aa68caea525e55989b9a,Fri May 05 2000 00:00:00 GMT+0800 (GMT+08:00),Fri May 05 2000 00:00:00 GMT+0800 (GMT+08:00)
PTS_a2d89cd8954dd38ad88,14618583312,朱元璋,Sat Jan 02 1999 00:00:00 GMT+0800 (GMT+08:00),235636106467354620,V2,db90cbb6f,H2f9cd9cf8ddf9,O,0,,USER_abb8bc879cf34d6ab5c89adaa61cabd40,Fri May 14 2010 00:00:00 GMT+0800 (GMT+08:00),Wed Nov 10 2010 08:00:00 GMT+0800 (GMT+08:00)
PTS_b9a9510d765fdad69ca,17682508576,多尔衮,Sun May 18 1947 00:00:00 GMT+0900 (GMT+08:00),375404780112588160,V3,9ee46999c,Hf4a8d06680cdb,F,0,,USER_bd6c7acbb9a43a95d9c1d0ccd93cab0cb,Thu Apr 25 1974 00:00:00 GMT+0800 (GMT+08:00),Sun Jun 15 1975 00:00:00 GMT+0800 (GMT+08:00)
PTS_2caacad793cdc7adbcb,18753379944,臧马,Tue Nov 09 1937 00:00:00 GMT+0800 (GMT+08:00),634197241370349000,V9,0aeac269b,Haba99866aa3eb,O,1,,USER_9c9d3ad06ae3d99b79d4d83c492b86d6a,Tue Nov 13 1973 08:00:00 GMT+0800 (GMT+08:00),Tue Nov 13 1973 08:00:00 GMT+0800 (GMT+08:00)
PTS_d7dd1b9f3aeb70e0cdc,15204188285,孙权,Tue Jan 25 1972 00:00:00 GMT+0800 (GMT+08:00),372521093656933200,V8,dc2ccc2c4,H1cf5dabad1ebd,O,0,,USER_1ae543cdab7e88aa0efb94f28a69d1b97,Fri Jun 16 1995 00:00:00 GMT+0800 (GMT+08:00),Fri Jun 16 1995 00:00:00 GMT+0800 (GMT+08:00)
PTS_7da99b194bcaa6a6a89,17282955370,周瑜,Fri Nov 08 1963 00:00:00 GMT+0800 (GMT+08:00),643425866374927900,V2,a8d60d5aa,Hcb354914dad42,O,1,,USER_ea8db3b3baa78dbbcb51a877d5ab8994b,Fri Jul 21 1978 00:00:00 GMT+0800 (GMT+08:00),Fri Jul 21 1978 00:00:00 GMT+0800 (GMT+08:00)
